sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.3089;4.9913;10.4004;0.2113;3.447;9.1785;-0.1288;1.1559;0.658;-0.7585;-0.688;0.2948;145.9888;14.19;-1.87;-46.64;330.77;-24.95;4.46;2.0;989.63;55.482;35.94247;-84.16515;882.12;NaN;;0.0;96.66771;;6 / 19;14;2022-11-02 20:42:07:329
0.6225;2.4918;8.9902;0.6531;4.1983;8.8385;-0.08;-1.115;-0.2537;1.1498;-0.0258;-0.1354;136.5175;10.63;6.67;-47.2;325.58;-18.33;-4.28;2.0;989.56;55.754;35.942467;-84.16516;883.01;NaN;;0.0;70.21471;;8 / 19;515;2022-11-02 20:42:07:830
0.2562;4.2778;7.2688;0.2038;4.3499;8.7868;-0.3805;-0.2155;-0.5416;-0.8726;0.3047;-0.0154;156.9475;11.94;-6.7;-46.45;316.99;-26.33;-1.33;2.0;989.57;62.145;35.942467;-84.16516;883.01;NaN;;0.0;70.21471;;8 / 19;1015;2022-11-02 20:42:08:330
0.1844;-1.8202;14.0396;-4.6015;2.1398;8.3915;4.5508;-3.4965;3.9726;-0.381;5.1977;-2.0663;155.73;15.53;1.27;-45.57;329.74;-14.22;10.36;2.0;989.79;57.439;35.942467;-84.16516;883.01;NaN;;0.0;70.21471;;8 / 19;1515;2022-11-02 20:42:08:830
-11.6885;-0.1562;8.9423;-6.2443;-3.1314;6.8828;-9.3218;2.305;5.6049;-3.1265;0.1534;-0.9381;212.2863;32.61;9.1;-31.74;205.65;18.62;42.22;2.0;989.42;59.44;35.942467;-84.16516;883.01;NaN;;0.0;70.21471;;8 / 19;2014;2022-11-02 20:42:09:329
-7.3574;-1.8872;-0.5578;-7.1484;1.3618;6.5739;1.6623;-1.5153;-3.6923;-0.5153;-2.2542;1.0742;163.0362;39.52;21.11;-9.32;321.52;-7.98;47.4;2.0;989.56;69.228;35.94246;-84.16516;883.14;NaN;;0.0;50.321926;;8 / 19;2515;2022-11-02 20:42:09:830
-2.4205;1.3186;2.6983;-6.7246;-0.096;7.1373;4.7322;-0.4089;-2.872;0.1087;-1.8227;-1.6513;218.645;40.43;13.51;-18.21;336.72;-7.5;54.74;2.0;989.64;70.468;35.94246;-84.16516;883.14;NaN;;0.0;50.321926;;8 / 19;3015;2022-11-02 20:42:10:330
-14.382;0.981;0.8643;-9.653;0.1099;1.7257;-0.6319;-1.8817;-3.4309;2.5612;0.8461;0.4657;169.26;38.03;20.19;-15.2;26.13;7.47;78.55;2.0;989.64;57.107;35.94246;-84.16516;883.14;NaN;;0.0;50.321926;;8 / 19;3514;2022-11-02 20:42:10:829
-2.7629;5.5803;7.4005;-7.7399;5.6388;2.114;4.3182;0.6409;3.4152;0.0559;-0.0782;-0.2313;177.5138;44.01;-2.0;-0.74;355.35;-35.35;86.18;2.0;989.48;57.666;35.94246;-84.16516;883.14;NaN;;0.0;50.321926;;8 / 19;4014;2022-11-02 20:42:11:329
-7.3909;5.4773;3.2513;-7.6333;5.3266;3.0871;-0.4343;-0.2364;0.1584;-0.6252;-0.2804;0.1553;205.7913;43.88;-11.03;-3.21;314.61;-32.9;67.98;2.0;989.57;58.152;35.942455;-84.16516;883.96;NaN;;0.0;38.779682;;9 / 19;4514;2022-11-02 20:42:11:829
