sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-7.1754;-12.6109;6.2776;-4.3684;-7.5448;4.4905;2.0376;0.1306;8.4649;-4.2949;-0.4683;-0.3771;176.025;23.35;16.8;-38.45;332.19;17.39;29.17;2.0;991.57;64.818;35.942486;-84.16515;944.56;NaN;;0.0;41.731422;;6 / 18;7;2022-11-08 17:35:43:317
-6.3015;-6.769;-2.9975;-7.5675;-6.236;0.1213;1.775;-0.923;-0.9816;0.5135;-0.4545;-0.6474;109.0513;-20.25;27.32;-1.59;3.96;39.49;89.08;0.0;991.33;69.319;35.942486;-84.16515;944.56;NaN;;0.0;41.731422;;6 / 18;506;2022-11-08 17:35:43:816
-7.1084;-11.6604;-2.7318;-5.2392;-8.2896;0.0545;-1.23;-2.482;0.1173;0.228;0.3173;0.0835;0.0;-11.99;59.85;10.49;346.86;57.7;89.4;0.0;991.41;68.203;35.942486;-84.16515;944.56;NaN;;0.0;41.731422;;6 / 18;1008;2022-11-08 17:35:44:318
-2.0806;-10.5566;1.7957;-2.2835;-9.2667;2.255;-0.1314;-2.2591;-0.0052;0.4863;0.4115;0.4123;0.27;-23.28;43.76;20.36;1.62;79.04;46.95;0.0;991.67;71.525;35.942486;-84.16515;944.56;NaN;;0.0;41.731422;;6 / 18;1507;2022-11-08 17:35:44:817
-3.2825;-3.7403;5.3247;-4.5009;-5.7061;6.5843;1.2812;1.6354;-0.9913;-0.1503;-0.1985;0.4699;0.0;-18.91;38.92;11.91;11.52;35.58;34.36;0.0;992.69;69.638;35.942486;-84.16515;944.56;NaN;;0.0;41.731422;;6 / 18;2006;2022-11-08 17:35:45:316
-3.6895;-7.2957;3.7278;-3.3045;-8.6754;3.1603;1.7558;1.1845;-0.0864;-1.6883;0.4846;-0.6735;0.4063;-12.92;41.21;11.1;1.74;62.21;46.28;0.0;992.68;70.544;35.942486;-84.16515;944.56;NaN;;0.0;41.731422;;7 / 18;2506;2022-11-08 17:35:45:816
-2.8491;-9.3404;-1.2617;-3.1015;-9.2078;-1.3292;-0.092;0.3242;-0.6696;0.2746;0.2826;0.192;0.0;-27.51;53.9;31.54;307.39;69.87;113.2;0.0;990.65;67.075;35.942486;-84.16515;944.56;NaN;;0.0;41.731422;;7 / 18;3010;2022-11-08 17:35:46:320
-3.1987;-8.1864;-1.8651;-3.1631;-9.1865;-1.3318;-0.3668;-0.3785;-0.8083;0.0261;0.3788;-0.1724;0.0;-23.91;59.46;34.04;308.85;68.89;108.89;0.0;991.2;64.969;35.942486;-84.16515;944.56;NaN;;0.0;41.731422;;7 / 18;3506;2022-11-08 17:35:46:816
-3.6248;-9.1153;1.561;-2.3529;-9.5195;-0.1163;-0.5938;0.5655;0.9747;0.8759;0.3778;-0.0049;0.4063;-10.64;42.53;9.87;332.83;76.1;92.83;0.0;991.29;63.955;35.942486;-84.16515;944.56;NaN;;0.0;41.731422;;7 / 18;4007;2022-11-08 17:35:47:317
-4.1539;-8.5814;2.4469;-4.5781;-7.9046;3.5676;0.3157;-0.9461;-0.8416;0.9308;-0.785;1.4227;0.0;-13.37;36.25;-6.7;27.37;53.71;52.07;0.0;991.54;65.437;35.942486;-84.16515;944.56;NaN;;0.0;41.731422;;7 / 18;4506;2022-11-08 17:35:47:816
-3.6129;-4.042;4.3048;-5.875;-5.7057;5.3944;-3.2099;-2.8115;3.1534;-0.64;0.0836;-0.0668;0.4063;8.6;29.71;-12.19;9.87;35.58;47.44;0.0;992.34;69.737;35.942486;-84.16515;944.56;NaN;;0.0;41.731422;;7 / 18;5006;2022-11-08 17:35:48:316
-3.2944;-8.5671;2.1093;-4.3679;-8.624;1.6485;0.7363;0.6021;0.099;-0.9888;1.459;-0.9457;0.0;8.11;32.76;-6.38;21.0;61.57;69.32;0.0;991.69;69.93;35.942486;-84.16515;944.56;NaN;;0.0;41.731422;;7 / 18;5506;2022-11-08 17:35:48:816
-2.7964;-10.2645;-2.7246;-3.1279;-9.1765;-1.4759;0.2441;-0.5504;0.3778;-0.2154;-0.0558;-0.0672;0.4063;-13.46;41.85;9.27;329.33;68.68;114.31;0.0;990.99;65.189;35.942486;-84.16515;944.56;NaN;;0.0;41.731422;;7 / 18;6007;2022-11-08 17:35:49:317
-3.1556;-9.2494;-1.6233;-3.0227;-9.1772;-1.677;-0.2619;0.0773;-0.6049;0.0549;0.1149;-0.1455;0.0;-9.35;42.26;13.75;313.59;69.36;119.02;0.0;991.28;65.831;35.942486;-84.16515;944.56;NaN;;0.0;41.731422;;7 / 18;6507;2022-11-08 17:35:49:817
-3.8499;-9.3643;-0.9816;-3.2968;-9.2356;0.0779;0.0048;0.3763;-1.4214;0.1844;-0.6268;0.5996;0.0;-10.41;37.56;7.84;340.87;70.35;88.65;0.0;991.34;63.711;35.942486;-84.16515;944.56;NaN;;0.0;41.731422;;7 / 18;7006;2022-11-08 17:35:50:316
-4.9512;-8.7466;2.5307;-5.1901;-7.7717;2.9724;0.1083;-0.3317;0.0091;0.5011;-0.2535;0.83;0.0;-7.08;33.68;-2.23;12.96;59.58;62.45;0.0;991.57;66.604;35.942486;-84.16515;944.56;NaN;;0.0;41.731422;;7 / 18;7507;2022-11-08 17:35:50:817
-5.0949;-4.9638;4.628;-6.5796;-5.3066;4.9719;0.3359;-0.0206;-0.1103;0.2525;-0.3423;0.455;0.0;9.58;30.29;-13.87;17.46;32.76;52.92;0.0;992.34;69.957;35.942486;-84.16515;944.56;NaN;;0.0;41.731422;;7 / 18;8007;2022-11-08 17:35:51:317
-6.359;-4.5352;5.0111;-5.9645;-6.0776;4.8638;0.5642;-0.0736;1.3157;-0.3475;0.067;-0.3149;0.4063;16.29;30.13;-20.73;38.91;38.3;50.8;0.0;992.02;71.968;35.942486;-84.16515;944.56;NaN;;0.0;41.731422;;7 / 18;8507;2022-11-08 17:35:51:817
-4.6735;-9.0627;-1.0199;-3.7904;-9.0406;-0.2664;-0.5379;-0.1884;-0.3739;-0.4218;0.2807;-0.4302;0.0;-0.01;43.7;-1.2;3.34;67.2;94.02;0.0;990.9;71.249;35.942486;-84.16515;944.56;NaN;;0.0;41.731422;;7 / 18;9011;2022-11-08 17:35:52:321
-3.6512;-9.4984;-1.4222;-2.9452;-9.2479;-1.4046;-0.6462;0.0462;0.1542;-0.0088;0.237;-0.0506;0.0;-7.97;46.34;8.63;328.82;69.93;114.85;0.0;991.25;65.106;35.942486;-84.16515;944.56;NaN;;0.0;41.731422;;7 / 18;9507;2022-11-08 17:35:52:817
-2.6671;-9.8216;-1.4844;-2.4115;-9.3965;-1.4357;-1.5423;-1.9881;0.0019;0.1819;0.2222;-0.263;0.0;-6.69;41.03;10.24;317.76;72.0;121.3;0.0;991.36;65.438;35.94249;-84.16514;948.01;NaN;;0.0;58.913815;;5 / 18;10006;2022-11-08 17:35:53:316
-1.4174;-8.4904;0.395;-3.5402;-9.0625;1.228;2.4393;0.3363;-0.1991;0.5314;-0.1489;0.732;0.0;-7.66;36.45;-0.12;7.2;67.54;70.87;0.0;991.37;65.08;35.94249;-84.16514;948.01;NaN;;0.0;58.913815;;6 / 18;10509;2022-11-08 17:35:53:819
-5.3032;-5.129;3.9672;-6.5127;-5.6174;4.7117;1.3065;0.6777;-0.326;0.3294;-0.4269;0.9851;0.27;6.64;33.03;-13.9;20.76;34.95;54.12;0.0;992.23;67.937;35.94249;-84.16514;948.01;NaN;;0.0;58.913815;;6 / 18;11007;2022-11-08 17:35:54:317
-6.3231;-4.382;5.0398;-6.3967;-5.6494;4.8308;-0.7681;-0.5888;0.5587;-0.343;0.0451;-0.4482;0.0;16.58;30.33;-18.58;25.94;35.18;52.94;0.0;992.15;69.455;35.94249;-84.16514;948.01;NaN;;0.0;58.913815;;6 / 18;11507;2022-11-08 17:35:54:817
-3.6679;-9.022;-1.5562;-3.4161;-9.1853;-0.3629;-0.8232;0.0032;-0.5544;-0.3332;0.6756;-0.3439;0.27;4.84;43.18;-7.64;37.15;69.49;96.06;0.0;991.0;66.025;35.94249;-84.16514;948.01;NaN;;0.0;58.913815;;6 / 18;12007;2022-11-08 17:35:55:317
-3.6703;-9.3907;-1.4126;-2.7964;-9.2846;-1.4651;0.075;0.0964;0.1695;0.081;0.124;0.0344;0.4063;-9.63;48.9;5.84;334.81;71.1;118.83;0.0;991.14;64.199;35.94249;-84.16514;948.01;NaN;;0.0;58.913815;;6 / 18;12507;2022-11-08 17:35:55:817
-2.7509;-10.3962;-1.3096;-2.5299;-9.3628;-1.4518;-0.4012;-1.0076;0.2146;0.1459;0.1594;-0.237;0.0;-6.87;40.91;6.59;326.91;72.7;119.85;0.0;991.35;64.022;35.94249;-84.16514;948.01;NaN;;0.0;58.913815;;6 / 18;13007;2022-11-08 17:35:56:317
