sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.103;3.3016;5.902;-0.4185;5.3694;8.1954;0.0426;-2.3359;-1.3453;0.2423;-0.1203;-0.0655;11020.0;-21.66;-4.2;-42.66;52.52;-30.81;2.22;5.0;989.65;56.705;;;;NaN;;;;;0 / 0;13;2022-11-01 13:58:17:531
0.5818;3.79;7.645;0.537;5.9079;7.8089;-0.0486;-2.9726;-1.2389;-0.0045;-0.1228;0.7744;9655.0;-20.28;-6.36;-44.94;42.36;-37.2;0.46;5.0;989.67;51.083;;;;NaN;;;;;0 / 0;512;2022-11-01 13:58:18:030
1.0271;3.9816;10.2092;0.8809;5.7779;7.8746;1.2667;-2.0358;2.6194;0.3907;0.0715;-0.4614;9203.0;-19.5;-5.46;-44.7;30.51;-36.1;-6.38;5.0;989.67;61.407;;;;NaN;;;;;0 / 0;1013;2022-11-01 13:58:18:531
-0.0718;6.23;9.2299;-0.6452;5.9034;7.8041;0.4249;-0.6167;2.5488;-0.8573;0.2963;-0.1144;11638.0;-15.72;-7.38;-47.4;42.26;-37.01;4.73;5.0;989.7;50.009;;;;NaN;;;;;0 / 0;1513;2022-11-01 13:58:19:031
-1.4485;5.0401;8.6506;-1.0534;5.5612;8.0084;0.7469;-1.4072;0.9127;0.464;0.2187;-0.0606;12441.0;-11.76;-10.5;-48.06;45.47;-34.55;7.49;5.0;989.72;51.934;;;;NaN;;;;;0 / 0;2013;2022-11-01 13:58:19:531
-0.8547;3.7972;5.5979;-2.2894;6.6197;6.8636;-3.153;0.1729;-3.9283;1.0865;0.2437;-0.8041;15453.0;-13.68;-15.9;-46.62;51.5;-37.39;5.76;5.0;989.6;61.716;;;;NaN;;;;;0 / 0;2514;2022-11-01 13:58:20:032
0.0335;2.6408;9.115;-0.6823;5.9556;7.7611;-0.5316;-3.4609;-2.587;-0.1371;0.8314;-0.3093;15215.0;-18.6;-15.06;-44.1;56.21;-38.12;3.64;5.0;989.6;60.585;;;;NaN;;;;;0 / 0;3013;2022-11-01 13:58:20:531
3.8978;3.6488;4.8626;0.7746;6.453;7.3437;2.8479;-2.8952;-1.2262;1.128;-1.3402;0.5087;14580.0;-18.06;-15.72;-43.44;61.31;-35.98;4.08;5.0;989.73;49.963;;;;NaN;;;;;0 / 0;3512;2022-11-01 13:58:21:030
17.8733;3.2441;-0.2586;9.1755;2.6362;2.2428;13.5388;2.356;-6.5571;1.4927;-2.0519;1.8331;6409.0;-45.06;6.9;-7.5;11.59;-15.59;-76.26;5.0;989.52;49.478;;;;NaN;;;;;0 / 0;4013;2022-11-01 13:58:21:531
7.0991;-0.8643;6.218;8.8718;0.4987;4.1489;0.1499;-0.8003;0.5773;-0.6435;-1.1423;0.0603;653.0;-36.42;20.22;-10.2;15.82;-2.91;-64.94;5.0;989.64;51.586;;;;NaN;;;;;0 / 0;4514;2022-11-01 13:58:22:032
7.2978;0.0311;-1.0894;9.6771;-0.1054;-1.5852;-3.7631;-0.2393;0.6275;0.4298;-0.4435;1.607;16.0;-35.76;24.0;-0.6;343.92;0.62;-99.3;5.0;989.93;51.115;;;;NaN;;;;;0 / 0;5013;2022-11-01 13:58:22:531
4.9395;-3.3639;0.3615;6.9808;-6.883;-0.2522;-2.1948;2.5878;0.585;0.1158;0.8344;1.243;16.0;-10.5;38.28;-9.48;338.12;36.29;-97.44;5.0;989.81;55.374;;;;NaN;;;;;0 / 0;5513;2022-11-01 13:58:23:031
6.0433;-2.0063;0.3232;6.616;-7.2308;-0.3391;-2.4812;2.8901;1.2226;-0.076;-0.3067;-0.1846;16.0;0.96;40.8;-9.42;340.86;51.25;-86.86;5.0;989.76;52.816;;;;NaN;;;;;0 / 0;6012;2022-11-01 13:58:23:530
3.043;-8.1669;-0.1221;4.7972;-7.9181;-3.2342;-1.577;-1.7404;2.3124;-0.8163;0.0941;0.6541;16.0;1.8;46.32;-4.02;355.14;51.05;-116.34;5.0;990.11;63.177;;;;NaN;;;;;0 / 0;6512;2022-11-01 13:58:24:030
5.7607;-12.7877;-0.814;1.6718;-9.6336;0.7541;1.5029;-5.3355;-0.1268;-2.2201;-0.7575;0.0023;16.0;23.82;42.12;-20.46;307.12;79.22;-65.72;5.0;989.9;72.529;;;;NaN;;;;;0 / 0;7014;2022-11-01 13:58:24:532
-0.9553;-4.2353;-2.3535;0.0952;-7.5681;-6.2358;-0.6866;3.8259;2.6852;-0.0851;-1.0421;-0.1584;16.0;12.9;51.54;1.2;21.85;50.51;-179.13;5.0;990.02;71.425;;;;NaN;;;;;0 / 0;7513;2022-11-01 13:58:25:031
-1.3958;-10.1086;0.9792;0.8106;-9.6203;-1.7214;1.8038;2.2865;1.4652;1.9472;0.5657;0.1006;16.0;17.1;48.42;-19.14;12.35;78.81;-154.78;5.0;989.44;57.601;;;;NaN;;;;;0 / 0;8013;2022-11-01 13:58:25:531
2.1883;-5.562;-0.158;-0.7226;-7.646;-6.098;-0.0938;0.6594;7.2592;-2.553;-2.7526;0.0078;16.0;16.92;50.88;5.88;46.69;68.41;-166.98;5.0;989.49;57.268;;;;NaN;;;;;0 / 0;8513;2022-11-01 13:58:26:031
7.1446;-8.1837;1.8962;0.1837;-9.021;-3.8415;-5.3005;0.8924;1.7729;2.3125;2.9431;-1.5438;16.0;19.56;43.86;3.84;44.0;54.22;169.71;5.0;990.35;66.664;;;;NaN;;;;;0 / 0;9013;2022-11-01 13:58:26:531
1.2522;-14.9261;-2.9066;0.1361;-9.716;-1.3235;-1.2662;-3.3375;8.018;-2.7522;-0.8179;-0.2237;16.0;24.96;34.86;-19.38;232.21;82.79;7.15;5.0;989.26;61.47;;;;NaN;;;;;0 / 0;9513;2022-11-01 13:58:27:031
-3.7278;-10.542;-10.3576;-1.6377;-7.6538;-5.9082;-1.6088;2.0223;-8.0479;1.0395;2.3579;0.75;16.0;18.24;44.4;0.78;36.59;51.3;164.51;5.0;990.33;63.792;;;;NaN;;;;;0 / 0;10013;2022-11-01 13:58:27:531
-0.3567;-7.9969;-1.3455;0.0851;-9.7784;0.7382;0.377;-0.5816;-2.6679;0.5111;0.5681;0.1049;16.0;23.34;35.58;-22.38;237.06;85.65;-6.57;5.0;989.51;62.02;;;;NaN;;;;;0 / 0;10513;2022-11-01 13:58:28:031
-2.1931;-5.9283;-7.8437;-1.3628;-7.1735;-6.5462;1.1641;4.2334;6.6851;1.3455;-0.7636;-1.0398;16.0;21.6;41.4;3.54;43.53;47.01;168.24;5.0;989.57;64.923;;;;NaN;;;;;0 / 0;11014;2022-11-01 13:58:28:532
0.3448;-6.74;0.8835;0.2967;-9.7989;-0.2507;0.558;0.3631;-0.0414;1.5831;1.7929;0.3401;16.0;18.0;40.08;-14.34;32.09;75.98;-172.35;5.0;989.29;60.793;;;;NaN;;;;;0 / 0;11515;2022-11-01 13:58:29:033
0.7925;-5.4758;0.7997;-1.1268;-7.2047;-6.5569;-0.7431;3.6421;7.4428;-2.3875;-2.5864;-0.5053;16.0;20.4;41.4;2.34;49.37;63.1;-178.61;5.0;989.23;58.107;;;;NaN;;;;;0 / 0;12015;2022-11-01 13:58:29:533
